event_id,event_name,event_date,country_group,brand,assigned_device,priority,collection_group,enabled,keywords,analysis_window_start,analysis_window_end,notes_limit_recon,notes_limit_deep,comments_per_note_pilot,comments_per_note_deep,author_post_limit,notes
B001_P2,2026高考开考现场,2026-06-07,Baseline,Gaokao,A,1,baseline_firstpass,yes,高考开考|高考第一天|高考考场|高考家长|高考结束|高考现场|高考陪考,2026-06-07,2026-06-10,20,100,30,80,0,第一轮基线；开考同步爆发；不采主页画像
B001_P5,2026高考志愿填报,2026-06-27,Baseline,Gaokao,A,2,baseline_firstpass,yes,志愿填报|高考志愿|选专业|报志愿|专业怎么选|高考报考|大学专业,2026-06-27,2026-07-04,20,100,30,80,0,第一轮基线；志愿决策扩散；不采主页画像
